Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Quality Publications,Influence,Citations,broad inpact,patents,Score
Harvard University,USA,1,1,1,1,1,1,1,1,2,100
Stanford University,USA,2,8,2,2,5,3,2,3,7,96.86
Massachusetts Institute of Technology,USA,3,2,12,3,14,2,3,2,1,95.72
Columbia University,USA,4,13,6,10,13,12,13,14,4,90.8
"University of California, Berkeley",USA,5,6,24,5,12,4,7,7,22,88.26
University of Chicago,USA,6,11,13,8,23,17,11,16,85,87.13
Princeton University,USA,7,4,15,4,99,26,23,39,122,86.04
Yale University,USA,8,9,27,11,17,10,32,18,48,81.2
California Institute of Technology,USA,9,5,339,7,82,13,23,28,13,80.46
Cornell University,USA,10,10,17,16,22,15,37,22,12,79.73
University of Pennsylvania,USA,11,24,4,27,11,18,12,11,11,73.9
"University of California, Los Angeles",USA,12,37,28,12,8,14,9,8,6,71.83
Johns Hopkins University,USA,13,17,91,18,4,11,4,4,3,67.15
Northwestern University,USA,14,150,11,43,27,37,29,25,46,65.02
"University of California, San Diego",USA,15,23,616+,17,15,5,18,17,15,64.87
New York University,USA,16,35,21,20,48,29,32,32,51,64.36
"University of California, San Francisco",USA,17,383+,616+,14,21,8,16,9,60,64.36
University of Michigan,USA,18,27,20,141,3,20,10,12,10,63.9
University of Washington,USA,19,46,115,24,9,9,6,5,25,60.66
University of Wisconsin–Madison,USA,20,32,30,36,24,28,20,30,18,60.46
Duke University,USA,21,85,32,49,19,23,13,15,26,58.84
University of Texas at Austin,USA,22,71,29,28,60,57,27,66,31,58.3
Rockefeller University,USA,23,36,616+,13,412,33,302,105,255,57.53
University of Illinois at Urbana–Champaign,USA,24,26,77,26,49,59,45,75,56,56.1
University of North Carolina at Chapel Hill,USA,25,144,70,62,28,31,15,20,40,55.19
University of Virginia,USA,26,147,19,133,108,90,97,108,65,54.28
University of Pittsburgh,USA,27,87,147,240+,25,55,21,24,42,53.55
University of Southern California,USA,28,143,58,37,62,63,73,56,29,53.49
University of Minnesota,USA,29,67,141,69,20,34,34,28,57,53.41
Dartmouth College,USA,30,54,16,240+,248,179,213,182,78,53.35
Ohio State University,USA,31,83,97,60,30,51,35,35,47,53.33
Rutgers University,USA,32,106,41,31,74,62,66,61,66,53.31
"University of California, Davis",USA,33,41,280,66,33,38,38,51,53,52.73
Washington University in St. Louis,USA,34,118,96,81,41,21,29,19,112,52.6
Boston University,USA,35,328,56,92,72,45,22,37,91,52.07
Pennsylvania State University,USA,36,172,61,72,39,42,43,51,68,52.07
University of Florida,USA,37,234,219,99,42,88,55,55,5,52.05
Vanderbilt University,USA,38,94,76,116,59,54,38,46,69,51.23
Purdue University,USA,39,78,44,52,86,100,126,130,34,51.06
"University of California, Santa Barbara",USA,40,112,335,38,145,73,45,68,57,50.89
Carnegie Mellon University,USA,41,29,106,25,225,233,138,154,122,50.89
University of Utah,USA,42,95,100,74,101,65,89,88,20,50.87
University of Colorado Boulder,USA,43,65,86,42,107,40,50,83,143,50.71
University of Rochester,USA,44,70,49,117,137,133,60,84,49,50.41
University of Arizona,USA,45,102,63,68,88,41,55,61,137,50.3
University of Texas Southwestern Medical Center,USA,46,73,616+,34,142,35,105,41,145,50.23
Emory University,USA,47,383+,127,131,64,53,70,36,63,50.17
"University of Maryland, College Park",USA,48,59,203,54,75,44,40,71,201,50.13
Brown University,USA,49,80,39,46,120,87,97,105,208,50.12
University of Texas MD Anderson Cancer Center,USA,50,383+,616+,87,90,72,59,26,67,49.46
University of Notre Dame,USA,51,246,25,157,271,263,252,236,275,49.3
Georgia Institute of Technology,USA,52,130,75,128,113,173,105,108,43,49.29
"University of California, Irvine",USA,53,252,616+,48,94,61,66,71,89,49.19
Tufts University,USA,54,76,43,185,185,171,81,113,71,48.94
Texas A&M University,USA,55,359,89,51,92,132,81,154,89,48.58
Arizona State University,USA,56,383+,266,95,139,109,105,173,23,48.34
Baylor College of Medicine,USA,57,383+,616+,119,114,39,73,44,157,48.17
Case Western Reserve University,USA,58,50,227,217,146,111,81,90,91,48.09
